candidate_id,session_date,calendar_dte,target_credit,modeled_entry,minute_touches,minute_touches_any_fresh_events,missed_minute_mid_crossings,missed_minute_ask_crossings,p2_rejected_supported,p3_rejected_supported,p2_approved_not_strong,p3_approved_not_strong,fast_6_5_4_3_rebound_sequences,conditional_fast_6_5_4_3_rebound_sequences,conditional_missed_minute_mid_crossings,conditional_missed_raw_minute_mid_crossings,conditional_missed_raw_minute_ask_crossings,conditional_p2_rejected_supported,conditional_p3_rejected_supported,conditional_p2_approved_not_strong,conditional_p3_approved_not_strong
1868,2024-06-03,3,7.0,False,494,9,0,0,0,0,477,472,0,0,11,11,23,0,0,468,463
1896,2024-06-14,3,5.0,False,370,13,0,0,0,0,355,343,0,0,0,0,0,0,0,343,331
1897,2024-06-14,3,6.0,False,331,13,0,0,0,0,316,304,0,0,1,1,0,0,0,310,298
1898,2024-06-14,3,7.0,False,290,244,0,0,0,0,287,284,0,208,458,458,0,2,4,76,75
1923,2024-06-28,3,5.0,False,59,0,0,0,0,0,53,50,0,0,0,0,0,0,0,53,50
1924,2024-06-28,3,6.0,False,33,0,0,0,0,0,30,28,0,0,0,0,0,0,0,30,28
1925,2024-06-28,3,7.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,2024-07-15,2,5.0,False,21,0,0,0,0,0,17,15,0,1,10,10,0,0,0,17,15
1957,2024-07-15,2,6.0,False,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1958,2024-07-15,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,2024-07-15,3,5.0,False,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1960,2024-07-15,3,6.0,False,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1961,2024-07-15,3,7.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,2024-07-31,2,5.0,False,27,0,0,0,0,0,18,15,0,0,17,17,0,0,0,18,15
1999,2024-07-31,2,6.0,False,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2000,2024-07-31,2,7.0,False,2,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0
2025,2024-08-16,3,5.0,False,507,9,0,0,0,0,479,458,0,1,25,25,0,0,0,477,456
2026,2024-08-16,3,6.0,False,661,9,0,0,0,0,641,625,0,0,2,2,22,1,2,633,618
2027,2024-08-16,3,7.0,False,194,0,0,0,0,0,189,186,0,1,1,1,0,0,0,189,186
2058,2024-08-28,2,5.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,2024-08-28,2,6.0,False,2,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0
2060,2024-08-28,2,7.0,False,1,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0
2061,2024-09-03,2,5.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,2024-09-03,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,2024-09-03,2,7.0,False,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2064,2024-09-03,3,5.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,2024-09-03,3,6.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,2024-09-03,3,7.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
