candidate_id,session_date,calendar_dte,target_credit,category,observed_fresh_seconds,expected_regular_seconds,coverage_fraction,first_target_ns,max_before_observed_target,reason
1340,2023-09-29,3,7.0,censored/insufficient coverage,30.561822218999975,46800,0.0006530303892948713,,10.0,missing entry or incomplete path
1341,2023-10-02,2,5.0,censored/insufficient coverage,87.45424721500008,70200,0.0012457869973646735,1696339816292050950,6.75,missing entry or incomplete path
1342,2023-10-02,2,6.0,censored/insufficient coverage,87.33460533599998,70200,0.001244082697094017,1696339829461496559,7.699999999999996,missing entry or incomplete path
1343,2023-10-02,2,7.0,censored/insufficient coverage,63.03935390699998,70200,0.0008979964944017091,,10.0,missing entry or incomplete path
1344,2023-10-02,3,5.0,censored/insufficient coverage,19789.99685707961,93600,0.21143159035341466,1696339816023733798,7.150000000000006,missing entry or incomplete path
1345,2023-10-02,3,6.0,censored/insufficient coverage,107.17679455900002,93600,0.0011450512239209404,,10.0,missing entry or incomplete path
1346,2023-10-02,3,7.0,censored/insufficient coverage,92.29917152800002,93600,0.00098610225991453,,10.0,missing entry or incomplete path
1377,2023-10-16,2,5.0,censored/insufficient coverage,88.7729504829999,70200,0.001264571944202278,1697549416121145947,7.199999999999996,missing entry or incomplete path
1378,2023-10-16,2,6.0,censored/insufficient coverage,83.47922035199998,70200,0.0011891626830769228,,10.0,missing entry or incomplete path
1379,2023-10-16,2,7.0,censored/insufficient coverage,79.04637198299999,70200,0.0011260166949145296,,10.0,missing entry or incomplete path
1380,2023-10-16,3,5.0,censored/insufficient coverage,128.9537726999999,93600,0.0013777112467948706,,10.0,missing entry or incomplete path
1381,2023-10-16,3,6.0,censored/insufficient coverage,107.9855899269999,93600,0.001153692200074785,,10.0,missing entry or incomplete path
1382,2023-10-16,3,7.0,censored/insufficient coverage,110.59776041400005,93600,0.0011816000044230775,,10.0,missing entry or incomplete path
1413,2023-10-31,2,5.0,censored/insufficient coverage,44.88206552600005,70200,0.0006393456627635334,1698845415525241314,3.0500000000000007,missing entry or incomplete path
1414,2023-10-31,2,6.0,censored/insufficient coverage,68.84951230099998,70200,0.0009807622834900282,1698931816671684611,8.400000000000006,missing entry or incomplete path
1415,2023-10-31,2,7.0,censored/insufficient coverage,65.34474368099988,70200,0.0009308368045726479,1698931816671906863,7.949999999999996,missing entry or incomplete path
1416,2023-10-31,3,5.0,censored/insufficient coverage,80.45389858799996,93600,0.0008595501985897431,1698845428322066250,7.149999999999999,missing entry or incomplete path
1417,2023-10-31,3,6.0,censored/insufficient coverage,91.68630004099988,93600,0.00097955448761752,1698845428259021927,7.249999999999986,missing entry or incomplete path
1418,2023-10-31,3,7.0,censored/insufficient coverage,101.313783022,93600,0.0010824122117735042,1698845415592640920,5.400000000000006,missing entry or incomplete path
1419,2023-11-01,2,5.0,censored/insufficient coverage,53.72539447899995,70200,0.000765319009672364,1698931815422011677,0.6500000000000004,missing entry or incomplete path
1420,2023-11-01,2,6.0,censored/insufficient coverage,32.23127028199995,70200,0.00045913490430199357,,10.0,missing entry or incomplete path
1421,2023-11-01,2,7.0,censored/insufficient coverage,69.5307618399999,70200,0.0009904666928774915,1698931815831083199,1.4999999999999982,missing entry or incomplete path
1449,2023-11-14,2,5.0,censored/insufficient coverage,90.1358849759996,70200,0.0012839869654700797,1700058615792183370,2.5500000000000007,missing entry or incomplete path
1450,2023-11-14,2,6.0,censored/insufficient coverage,89.97054489899985,70200,0.0012816316937179465,1700058616132550536,3.299999999999997,missing entry or incomplete path
1451,2023-11-14,2,7.0,censored/insufficient coverage,88.5159141810002,70200,0.0012609104584188062,1700058620585428192,5.899999999999999,missing entry or incomplete path
1479,2023-11-29,2,5.0,censored/insufficient coverage,80.34212241400003,70200,0.0011444746782621087,,10.0,missing entry or incomplete path
1480,2023-11-29,2,6.0,censored/insufficient coverage,71.10003600700003,70200,0.001012821025740741,,10.0,missing entry or incomplete path
1481,2023-11-29,2,7.0,censored/insufficient coverage,68.63380013099999,70200,0.0009776894605555554,,10.0,missing entry or incomplete path
1482,2023-12-01,3,5.0,censored/insufficient coverage,44.996890859999986,46800,0.0009614720269230766,,9.5,missing entry or incomplete path
1483,2023-12-01,3,6.0,censored/insufficient coverage,41.68905864499997,46800,0.0008907918513888881,,10.0,missing entry or incomplete path
1484,2023-12-01,3,7.0,censored/insufficient coverage,40.44028436200002,46800,0.0008641086402136756,,10.0,missing entry or incomplete path
1509,2023-12-12,2,5.0,censored/insufficient coverage,65.99573547,70200,0.0009401101918803419,1702477816468421205,1.5999999999999979,missing entry or incomplete path
1510,2023-12-12,2,6.0,censored/insufficient coverage,66.58987165200008,70200,0.0009485736702564114,1702477816537822242,2.549999999999997,missing entry or incomplete path
1511,2023-12-12,2,7.0,censored/insufficient coverage,74.72970873400003,70200,0.001064525765441596,1702477836579471003,7.300000000000004,missing entry or incomplete path
1536,2023-12-27,2,5.0,censored/insufficient coverage,16079.331145916656,70200,0.22905030122388398,1703773816842751505,6.400000000000002,missing entry or incomplete path
1537,2023-12-27,2,6.0,censored/insufficient coverage,85.86759688500021,70200,0.0012231851408119688,1703773816320168460,5.300000000000001,missing entry or incomplete path
1538,2023-12-27,2,7.0,censored/insufficient coverage,68.31604128800006,70200,0.0009731629813105422,,10.0,missing entry or incomplete path
1539,2024-01-02,2,5.0,censored/insufficient coverage,79.93830742199995,70200,0.0011387223279487172,,10.0,missing entry or incomplete path
